id,title,brand,abbr,body,created_at,updated_at
2,ZARA SH,ZARA,ZARA SH,"飒拉商业（上海）有限公司
Zara Commercial (Shanghai) Co., Ltd.",1517541488,1517541488
3,ZARA BJ,ZARA,ZARA BJ,"飒拉商业（北京）有限公司
Zara Commercial (Beijing) Co., Ltd.",1517541488,1517541488
4,ZARA FASHION,ZARA,ZARA FASHION,"飒拉服饰（上海）有限公司
Zara Fashion (Shanghai) Co., Ltd.",1517541488,1517541488
5,BSK BJ,BSK,BSK BJ,"波丝可商业（北京）有限公司
Bershka Commercial (Beijing) Co., Ltd",1517541488,1517541488
6,BSK SH,BSK,BSK SH,"波丝可商业（上海）有限公司
Bershka Commercial (Shanghai) Co., Ltd.",1517541488,1517541488
7,MD BJ,MD,MD BJ,"麦西姆杜特商业（北京）有限公司
Massimo Dutti Commercial (Beijing) Co., Ltd..",1517541488,1517541488
8,MD SH,MD,MD SH,"麦西姆杜特商业（上海）有限公司
Massimo Dutti Commercial (Shanghai) Co., Ltd.",1517541488,1517541488
9,PB BJ,PB,PB BJ,"普安倍尔商业（北京）有限公司
Pull&Bear Commercial (Beijing) Co., Ltd",1517541488,1517541488
10,STR SH,STR,STR SH,"斯特拉迪瓦里斯商业（上海）有限公司
Stradivarius Commercial (Shanghai) Co., Ltd.",1517541488,1517541488
11,OYSHO SH,OYSHO,OYSHO SH,"奥依修商贸（上海）有限公司
Oysho Commercial&Trading (Shanghai) Co., Ltd",1517541488,1517541488
12,ZARA HOME SH,ZARA HOME,ZARA HOME SH,"飒拉家居商贸（上海）有限公司
Zara Home Commercial&Trading (Shanghai) Co., Ltd.",1517541488,1517541488
13,E-COM,E-COM,E-COM,"爱特思电子商务（上海）有限公司
ITX E-Commerce (Shanghai) Co., Ltd.",1517541488,1517541488
14,UTQ,UTQ,UTQ,"乌特圭商贸（上海）有限公司
Uterque Commercial&Trading (Shanghai) Co., Ltd.",1517541488,1517541488
